field,gap,n,label,basic_applied,ba_name,licensure_strict,absorption_acs
accounting,0.48753201434486415,94,Accounting,3.0,professional,0.046419914451047546,0.20974036993042594
aerospace_engineering,0.4443588472962683,35,Aerospace Engineering,2.0,applied,0.019916533475404015,0.18566775244299674
ag_engineering,0.9054945054945055,14,Agricultural Engineering,2.0,applied,,
agronomy,0.9272727272727272,11,Agronomy,2.0,applied,0.05729913812206244,0.2437115707098938
animal_sciences,0.8039215686274509,35,Animal Sciences,2.0,applied,0.21044640696830388,0.10539845758354756
anthropology,0.5079089615931721,75,Anthropology,1.0,basic,0.15188893520369534,0.48339937881546535
architecture,0.7770817417876241,34,Architecture,3.0,professional,0.3137569767837939,0.2522620340209917
biochemistry,0.5783996299722478,47,Biochemistry,1.0,basic,0.3394044440530468,0.14732183345123434
biology,0.649835719752833,137,Biology,1.0,basic,0.37034375829165983,0.1419667492041033
biomedical_engineering,0.3505210594876249,48,Biomedical Engineering,2.0,applied,0.1525536383697126,0.1274550773088174
chemical_engineering,0.45185539098582583,91,Chemical Engineering,2.0,applied,0.06099980079178252,0.1479551555345018
chemistry,0.6869446343130553,76,Chemistry,1.0,basic,0.23359503871496948,0.15946941350823907
civil_engineering,0.49423595272651877,105,Civil Engineering,2.0,applied,0.029124616258004794,0.21950945515821008
communication_disorders,1.2083333333333335,17,Communication Disorders,3.0,professional,0.6137421652284921,0.08125776649197687
computer_engineering,0.30252499074416894,74,Computer Engineering,2.0,applied,0.02698776974199866,0.11767154652050232
computer_science,0.29178168852081887,161,Computer Science,2.0,applied,0.032465295498622024,0.2026152224874723
earth_sciences,0.7151980792316928,50,Earth Sciences,1.0,basic,0.10521856365603202,0.26167556233320627
ecology,0.6454545454545454,11,Ecology,1.0,basic,0.1374873210199797,0.2787728658536585
economics,0.31255261811900503,116,Economics,1.0,basic,0.10347425730198191,0.28646949278119305
electrical_engineering,0.48708724939975157,118,Electrical Engineering,2.0,applied,0.03846827048367335,0.1313122355385512
english,0.5059799043995707,135,English,1.0,basic,0.2181738050521769,0.4225177546695091
environmental_engineering,0.8105263157894737,19,Environmental Engineering,2.0,applied,0.06733260263053009,
environmental_sciences,0.7708423795049935,48,Environmental Sciences,2.0,applied,0.10835980777832574,0.15670597641415152
finance,0.4134661218930882,89,Finance,3.0,professional,0.05830617891177375,0.12013944757307589
food_science,0.2382352941176471,16,Food Science,2.0,applied,0.08729650631059081,0.1622191011235955
forestry,1.1495098039215685,17,Forestry,2.0,applied,0.054854522748877,0.26382529059528004
geography,0.7618466898954703,41,Geography,1.0,basic,0.08218829166207732,0.42576495132127956
history,0.4134735493514119,131,History,1.0,basic,0.23366033430503455,0.32197428139183054
hper,0.4285714285714287,15,Health/PE/Recreation,3.0,professional,,
human_dev,0.42016129032258065,31,Human Dev & Family Sci,3.0,professional,,
industrial_engineering,0.5064777327935223,39,Industrial Engineering,2.0,applied,0.041678385827964154,0.2301360658491517
kinesiology,0.3811740005248885,70,Kinesiology/Exercise Sci,3.0,professional,,
linguistics,0.4977777777777779,26,Linguistics,1.0,basic,,
management,0.5248055315471045,90,Management,3.0,professional,0.0594033972126229,0.17852531587199114
marketing,0.4815266485998193,81,Marketing,3.0,professional,0.05939441920570756,0.0749175906502847
materials_science,0.48814229249011853,23,Materials Science,2.0,applied,0.035827015546181305,0.2009660305645736
mathematics,0.3844294742690466,120,Mathematics,1.0,basic,0.16678104260017612,0.35396123767426046
mechanical_engineering,0.3819854469569246,133,Mechanical Engineering,2.0,applied,0.02830475026693791,0.2024974279316536
microbiology,0.9338235294117647,17,Microbiology,1.0,basic,0.287370957166166,0.14410184832720044
music,0.9607655502392345,76,Music,1.0,basic,0.16480457599458564,0.3458590308370044
nursing,0.9270871985157699,99,Nursing,3.0,professional,0.7686129118852503,0.10597014925373134
nutrition,0.731924360400445,30,Nutrition Sciences,3.0,professional,,
pharmacy,0.5714285714285714,8,Pharmacy,3.0,professional,0.5810730281106549,0.03789768928460773
philosophy,0.656794425087108,41,Philosophy,1.0,basic,0.21372205896919472,0.37481464251446517
physics,0.6547870733917245,43,Physics,1.0,basic,0.08907006315730313,0.19962071444507795
physiology,1.3441176470588236,16,Physiology,1.0,basic,0.42915100927804195,0.15219736747464577
political_science,0.3430090710040664,139,Political Science,1.0,basic,0.23657915648821262,0.2426265897636506
psychology,0.42872373465102365,173,Psychology,1.0,basic,0.18277578663510138,0.180485401649121
public_health,0.4420821114369502,32,Public Health,3.0,professional,0.16337369304800786,0.07761849412372465
social_work,0.5516046837666929,68,Social Work,3.0,professional,0.129445365948562,0.27372832607445147
sociology,0.4300115429011159,114,Sociology,1.0,basic,0.1513750445366941,0.3298332718306552
spanish,0.6238042269187987,30,Spanish Lang & Lit,1.0,basic,,
special_education,0.4508771929824561,19,Special Education,3.0,professional,0.613655936398002,0.2884990253411306
statistics,0.24630541871921174,28,Statistics,1.0,basic,0.041820301912955785,0.21336438552490147
teacher_ed_subjects,0.7678249678249678,36,Teacher Ed (subjects),3.0,professional,,
theatre,0.6237434474252236,46,Theatre,1.0,basic,0.11592075343480193,0.4126279204479629
urban_planning,0.8741258741258742,12,Urban & Regional Planning,3.0,professional,,
