final_rank_w60,wap_name,scorecard_name,CS_prestige_rank,CS_springrank_score,cs_median_earnings,cs_cohort,z_P,z_S,combined_w50,combined_w60,combined_w70,rank_w50,rank_w60,rank_w70,salary_premium_usd,rank_move_across_w,low_robustness_flag,pseo_earnings
1,Carnegie Mellon University,Carnegie Mellon University,3.0,1.1276050083135853,246966.0487804878,164.0,2.178575730200456,2.3993536316757917,2.2889646809381237,2.26688689079059,2.2448091006430566,1,1,3,48909.87569771224,2,False,
2,Stanford University,Stanford University,0.0,1.2631696529047833,214907.0,108.0,2.5507778034107114,1.6541658528197436,2.1024718281152275,2.1921330231743243,2.281794218233421,2,2,2,7571.509495240753,0,False,
3,"University of California, Berkeley",University of California-Berkeley,1.0,1.3131728364331772,204379.0,304.0,2.6880649894060302,1.4094506402906866,2.0487578148483583,2.176619249759893,2.304480684671427,4,3,1,-6379.177986948111,3,False,
4,Massachusetts Institute of Technology,Massachusetts Institute of Technology,2.0,1.1756552063228978,225141.0,213.0,2.3105008598768597,1.8920472628712603,2.10127406137406,2.14311942107462,2.18496478077518,3,4,4,23795.820105292543,1,False,
5,"University of California, Los Angeles",University of California-Los Angeles,8.0,0.9138038693387016,216722.0,136.0,1.5915699705414033,1.6963541232168027,1.643962046879103,1.633483631611563,1.6230052163440232,6,5,5,33300.38476755659,1,False,
6,University of Pennsylvania,University of Pennsylvania,10.0,0.7189595114849366,241380.0,40.0,1.056611359723779,2.2695102507378406,1.6630608052308098,1.5417709161294035,1.4204810270279975,5,6,7,71295.36248663557,2,False,
7,Cornell University,Cornell University,4.0,0.8791932421432047,201226.7615571776,411.0,1.4965441086279379,1.3361792971602209,1.4163617028940794,1.432398184040851,1.4484346651876228,7,7,6,20174.222693351127,1,False,
8,Princeton University,Princeton University,7.0,0.7162914054086648,217973.0,30.0,1.0492858906375881,1.7254326500855195,1.3873592703615538,1.3197445944167607,1.2521299184719674,8,8,8,48070.99272383284,0,False,
9,Harvard University,Harvard University,6.0,0.6019224344425118,203169.0,47.0,0.7352779999158392,1.3813251266926472,1.0583015633042432,0.9936968506265624,0.9290921379488817,9,9,10,41095.479185187665,1,False,
10,Columbia University,Columbia University in the City of New York,20.0,0.6336977124191702,188265.0,149.0,0.8225192151708106,1.0348931806883668,0.9287061979295888,0.9074688013778331,0.8862314048260774,10,10,12,24016.480745097855,2,False,
11,Johns Hopkins University,Johns Hopkins University,34.0,0.559090777998944,196467.0,58.0,0.6176807357073184,1.2255423232760685,0.9216115294916934,0.8608253707348185,0.8000392119779435,11,11,15,37325.28000278096,4,False,
12,University of Rochester,University of Rochester,14.0,0.7840902263676307,155464.0,82.0,1.2354322254598793,0.27245931992035777,0.7539457726901185,0.8502430632440707,0.9465403537980228,14,12,9,-19078.795310625952,5,False,
13,"University of California, Santa Barbara",University of California-Santa Barbara,27.0,0.7956892430329449,149190.0,90.0,1.2672781249792482,0.1266250452806063,0.6969515851299273,0.8110168930997914,0.9250822010696556,15,13,11,-26146.740942578122,4,False,
14,University of Illinois at Urbana-Champaign,University of Illinois Urbana-Champaign,11.0,0.6061405086760788,178250.4212962963,216.0,0.7468590133830506,0.8021120488622059,0.7744855311226282,0.7689602275747127,0.7634349240267972,13,14,16,15888.175867180631,3,False,176974.10994305738
15,Brown University,Brown University,17.0,0.40130975859780277,214479.0,116.0,0.18448207457096683,1.6442173240429165,0.9143496993069417,0.7683761743597468,0.6224026494125519,12,15,17,66137.29476033393,5,False,
16,Georgia Institute of Technology,Georgia Institute of Technology-Main Campus,16.0,0.7357219455304426,150628.0,451.0,1.1026337774610993,0.16005024243265645,0.6313420099468778,0.7256003634497221,0.8198587169525664,16,16,14,-20604.015922700928,2,False,129086.0
17,University of Wisconsin - Madison,University of Wisconsin-Madison,9.0,0.867142470654336,119655.0,226.0,1.46345788511099,-0.5598931729988103,0.4517823560560899,0.65411746186707,0.8564525676780499,17,17,13,-60572.6708891255,4,False,117658.0
18,Rice University,Rice University,12.0,0.3125478302557372,182443.0,57.0,-0.059219916096900936,0.8995652962521804,0.42017269007763974,0.32429416884273166,0.2284156476078235,19,18,21,40176.99473769276,3,False,
19,University of Southern California,University of Southern California,35.0,0.24375354243210656,192897.0,142.0,-0.24809937379173463,1.1425604360487953,0.44723053112853034,0.3081645501444774,0.1690985691604244,18,19,24,55339.92187322868,6,True,
20,"University of Texas at Austin, The",The University of Texas at Austin,13.0,0.516191314076045,144184.7952522255,337.0,0.49989730139181765,0.010282934376058437,0.25509011788393804,0.3040515545855139,0.35301299128708985,21,20,19,-12020.482546705462,2,False,128592.0
21,"Ohio State University, The",Ohio State University-Main Campus,33.0,0.6397795262368594,118833.0,58.0,0.8392172540927502,-0.5789999268645858,0.1301086636140822,0.2719303817098157,0.4137520998055493,27,21,18,-45831.81570952662,9,True,98372.0
22,Washington University in St. Louis,Washington University in St Louis,43.0,0.26897148173036467,177066.0,63.0,-0.17886178373123984,0.7745810924367607,0.2978596543527604,0.2025153667359604,0.10717107911916035,20,22,27,37782.76927508993,7,True,
23,"University of California, San Diego",University of California-San Diego,21.0,0.3554324507471543,159487.0,384.0,0.05852276455463544,0.3659708415773103,0.21224680306597288,0.1815019953637054,0.15075718766143792,23,23,25,14285.568563256384,2,False,
24,George Washington University,George Washington University,61.0,0.5714285954957413,121099.31521739131,92.0,0.6515550638187932,-0.526321183505757,0.06261694015651814,0.18040456488897316,0.2981921896214281,28,24,20,-38886.920879084486,8,True,
25,Northwestern University,Northwestern University,46.0,0.33927550064085915,158473.26,100.0,0.01416274469509039,0.3424072397964209,0.17828499224575564,0.1454605427356226,0.11263609322548956,24,25,26,14377.761965431971,2,False,
26,University of Massachusetts Amherst,University of Massachusetts-Amherst,23.0,0.5071782601737395,123519.0,188.0,0.47515134083174604,-0.4700774832939968,0.0025369287688746245,0.09705981118144888,0.19158269359402313,29,26,22,-32069.339744372963,7,True,137194.0
27,"University of Chicago, The",University of Chicago,22.0,0.16737041453359933,178068.0,32.0,-0.4578145148437432,0.7978718070030709,0.17002864607966386,0.0444600138949825,-0.0811086182896989,25,27,31,45739.30049356588,6,True,
28,University of Washington,University of Washington-Seattle Campus,15.0,0.4049332764945023,135414.2711864407,826.0,0.19443069264563548,-0.19358111014804308,0.00042479124879619967,0.03922597152816405,0.07802715180753189,30,28,28,-13175.46164809799,2,False,
29,Dartmouth College,Dartmouth College,41.0,0.021939030499991522,201702.0,62.0,-0.8571064010901682,1.3472258469832887,0.24505972294656025,0.02462649813921458,-0.1958067266681311,22,29,39,79327.99022580216,17,True,
30,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,24.0,0.41994752058818335,129461.49579831933,357.0,0.2356533344059914,-0.33194876727587913,-0.048147716434943866,0.008612493733243187,0.06537270390143021,34,30,29,-20155.95290724562,5,False,119183.72619926199
31,"University of Cincinnati, The",University of Cincinnati-Main Campus,,0.5870934231120376,99244.63888888889,324.0,0.6945639274708822,-1.0343162217355462,-0.16987614713233196,0.0030118677883108624,0.17589988270895363,38,31,23,-61813.84512481197,15,True,94019.31674842327
32,New York University,New York University,28.0,0.34073418909218783,142495.0,376.0,0.01816767435348042,-0.02899504855317375,-0.005413687099846664,-0.0006974148091812484,0.0040188574814841675,32,32,30,-1700.3443713505985,2,False,
33,Yale University,Yale University,18.0,0.06767752524336754,188157.0,31.0,-0.7315282120251834,1.0323828042680459,0.15042729612143124,-0.025963805507891624,-0.2023549071372145,26,33,40,62652.21809559532,14,True,
34,Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University,64.0,0.2686645840288608,144103.0,253.0,-0.17970439251841785,0.008381667038270363,-0.08566136274007374,-0.10446996869574257,-0.1232785746514114,35,34,33,4840.77623598979,2,False,125251.0
35,University of Michigan,University of Michigan-Ann Arbor,38.0,0.14318398315214909,166063.10075566752,794.0,-0.5242200288395205,0.5188272144910326,-0.002696407174243909,-0.1070011315072992,-0.2113058558403545,31,35,41,35389.94775820921,10,True,137498.0
36,Vanderbilt University,Vanderbilt University,95.0,0.17611495397471597,160021.0,53.0,-0.4338057792396535,0.3783832583222302,-0.027711260458711667,-0.10893016421490004,-0.19014906797108838,33,36,38,27093.742090466985,5,False,
37,University of Virginia,University of Virginia-Main Campus,31.0,0.26862505647402735,142041.0,201.0,-0.17981291814397682,-0.03954792720896705,-0.10968042267647193,-0.12370692176997292,-0.1377334208634739,36,37,34,2781.481873062934,3,False,144468.0
38,"University of Maryland, College Park",University of Maryland-College Park,19.0,0.34265240775595207,127995.12,700.0,0.02343427587540859,-0.36603353790023146,-0.17129963101241144,-0.13235284963484745,-0.09340606825728345,39,38,32,-16331.525271519087,7,True,
39,Tufts University,Tufts University,70.0,0.11039165086668613,156343.0,105.0,-0.6142536367824677,0.29289099467463603,-0.16068132105391583,-0.25139578419962616,-0.3421102473453365,37,39,44,27914.4621911226,7,True,
40,Missouri University of Science and Technology,Missouri University of Science and Technology,138.0,0.4000001219465985,101412.28070175438,171.0,0.1808863769006761,-0.9839310653029617,-0.4015223442011428,-0.285040599980779,-0.1685588557604153,40,40,36,-46839.780706139514,4,False,95116.07911683533
41,University of Missouri,University of Missouri-Columbia,115.0,0.4000001219465985,100234.0,195.0,0.1808863769006761,-1.0113192883603999,-0.4152164557298619,-0.2959958892037543,-0.17677532267764673,41,41,37,-48018.061407893896,4,False,95396.0
42,"Pennsylvania State University, The",Pennsylvania State University-Main Campus,30.0,0.42252391387585525,96042.12384937238,1195.0,0.2427269997113385,-1.1087562054478166,-0.43301460286823906,-0.2978662823523236,-0.16271796183640808,43,42,35,-53751.6774088236,8,True,101803.33889310084
