field,level,period,n_institutions,gap,spearman,signal_frac,ci_lo,ci_hi,synth_lo,synth_hi,reliable_flag,reliable,cip2,se
accounting,undergrad,2011-2020,94,0.48753201434486415,0.5124679856551358,0.83097827738116,0.3674454695923782,0.6332496920699815,0.0579666221146552,0.13446700140880685,True,True,52,0.08
aerospace_engineering,undergrad,2011-2020,35,0.4443588472962683,0.5556411527037317,0.02,0.257928571812576,0.7313189793152126,0.5613235294117647,1.2165266106442578,False,False,14,0.12076285905679505
ag_engineering,undergrad,2011-2020,14,0.9054945054945055,0.0945054945054945,0.02,0.3497417973743481,1.5134774988015343,0.39120879120879115,1.4550549450549448,False,False,14,0.29687135240489443
agricultural_economics,undergrad,2011-2020,4,1.2,-0.19999999999999998,0.5096848515102754,0.0,1.777777777777778,0.0,1.4,False,False,01,0.45351473922902497
agronomy,undergrad,2011-2020,11,0.9272727272727272,0.07272727272727274,0.02,0.2975438788942518,1.586939196152525,0.30909090909090897,1.5638636363636362,False,False,01,0.32892737685160034
animal_sciences,undergrad,2011-2020,35,0.8039215686274509,0.19607843137254907,0.02,0.5280362548600849,1.1109712757321297,0.5372268907563025,1.1792857142857143,False,False,01,0.14870791348776655
anthropology,undergrad,2011-2020,75,0.5079089615931721,0.4920910384068279,0.5434850451823682,0.3413789491598568,0.7420704069949426,0.17661308677098156,0.36604765291607394,False,False,45,0.10221720863139945
architecture,undergrad,2011-2020,34,0.7770817417876241,0.22291825821237582,0.02,0.44616999528372003,1.1460517816599423,0.566218487394958,1.2104125286478227,False,False,04,0.17854127203475056
astronomy,undergrad,2011-2020,3,,,,,,,,False,False,40,
atmospheric_sciences,undergrad,2011-2020,4,0.0,1.0,0.019999999999999997,0.0,0.0,0.0,2.0,False,False,40,0.08
biochemistry,undergrad,2011-2020,47,0.5783996299722478,0.42160037002775214,0.02,0.3560326148662849,0.853325147847458,0.5953891073080481,1.1269715541165588,False,False,26,0.12686034004621766
biology,undergrad,2011-2020,137,0.649835719752833,0.350164280247167,0.7025255868578267,0.5087940512556611,0.7982137060295151,0.10923446338230645,0.20747136763305762,True,True,26,0.08
biomedical_engineering,undergrad,2011-2020,48,0.3505210594876249,0.6494789405123751,0.02,0.21581897983827392,0.5418578359736479,0.6142314372557534,1.1376546895353887,False,False,14,0.08317317758555459
biostatistics,undergrad,2011-2020,0,,,,,,,,False,False,26,
chemical_engineering,undergrad,2011-2020,91,0.45185539098582583,0.5481446090141742,0.02,0.3071902317173818,0.6221445494148895,0.6630056537665233,1.1071213569039655,False,False,14,0.08034548920854788
chemistry,undergrad,2011-2020,76,0.6869446343130553,0.3130553656869447,0.02,0.49844605231375294,0.8974533189336474,0.6651100478468899,1.091982911825017,False,False,40,0.1017875680152792
civil_engineering,undergrad,2011-2020,105,0.49423595272651877,0.5057640472734812,0.02,0.36124091821268667,0.6643248177963366,0.7116830810698735,1.1018904208998548,False,False,14,0.08
communication_disorders,undergrad,2011-2020,17,1.2083333333333335,-0.20833333333333337,0.5076906211500589,0.6888113050706568,1.6005209996806133,0.11519607843137247,0.5515318627450979,True,True,51,0.23257900372702975
computer_engineering,undergrad,2011-2020,74,0.30252499074416894,0.6974750092558311,0.5350060051530409,0.18501877498862995,0.454529474357242,0.1797556460570161,0.3955831173639394,False,False,14,0.08
computer_science,undergrad,2011-2020,161,0.29178168852081887,0.7082183114791811,0.9213860069540853,0.20892525663242223,0.3819173566443237,0.02321967736369892,0.05138457556935821,True,True,11,0.08
earth_sciences,undergrad,2011-2020,50,0.7151980792316928,0.2848019207683073,0.02,0.4424319088484947,1.014873581061153,0.6198487394957982,1.1261152460984394,False,False,40,0.1460310388297598
ecology,undergrad,2011-2020,11,0.6454545454545454,0.3545454545454546,0.02,0.12408256370312698,1.3551023573200993,0.30909090909090897,1.5636363636363637,False,False,26,0.31403566163698277
economics,undergrad,2011-2020,116,0.31255261811900503,0.687447381880995,0.8960483529207539,0.22882439250128828,0.4272004974701916,0.03518702187367863,0.0770672356129626,True,True,45,0.08
education_admin,undergrad,2011-2020,3,,,,,,,,False,False,13,
education_general,undergrad,2011-2020,4,0.20000000000000007,0.7999999999999999,0.3979201432724433,0.0,0.6666666666666665,0.0,1.7999999999999998,False,False,13,0.17006802721088432
electrical_engineering,undergrad,2011-2020,118,0.48708724939975157,0.5129127506002484,0.7084369681141848,0.3413982039084421,0.6561730305441431,0.11198035928843506,0.22969242455782826,True,True,14,0.0802997006723727
english,undergrad,2011-2020,135,0.5059799043995707,0.4940200956004293,0.5794193392387565,0.40333521147265106,0.642401753464867,0.16524034240561894,0.305205467759243,True,True,23,0.08
environmental_engineering,undergrad,2011-2020,19,0.8105263157894737,0.18947368421052632,0.02,0.4119453768690877,1.3221522205720233,0.5052631578947369,1.375482456140351,False,False,14,0.23219562339360603
environmental_sciences,undergrad,2011-2020,48,0.7708423795049935,0.22915762049500651,0.3349766440658893,0.5213162635144479,1.0493244859939352,0.24725086843247937,0.5839177160225792,False,False,03,0.1346959751223182
finance,undergrad,2011-2020,89,0.4134661218930882,0.5865338781069118,0.9379496417067053,0.2835374719601439,0.5663903820167346,0.02173518896833495,0.05190670752468485,True,True,52,0.08
food_science,undergrad,2011-2020,16,0.2382352941176471,0.7617647058823529,0.29048455088871833,0.045646674071331605,0.6608120827478637,0.15294117647058814,0.8736029411764705,False,False,01,0.15692995119299288
forestry,undergrad,2011-2020,17,1.1495098039215685,-0.14950980392156862,0.02,0.5790134370579916,1.6542211608425532,0.39693627450980384,1.406924019607843,False,False,03,0.2742876846389188
geography,undergrad,2011-2020,41,0.7618466898954703,0.23815331010452967,0.02,0.494249616623026,1.1045124945860054,0.5848127177700349,1.13993031358885,False,False,45,0.15567930560280088
history,undergrad,2011-2020,131,0.4134735493514119,0.5865264506485881,0.7313475035421256,0.3114232041234122,0.5423577930617751,0.10090882400042706,0.20016441573693486,True,True,54,0.08
hper,undergrad,2011-2020,15,0.4285714285714287,0.5714285714285713,0.5381972862592499,0.21279566305254394,0.8837573504562352,0.09285714285714297,0.5714285714285714,False,False,31,0.17116369576624776
