field,label,cip2,n,rho_PP,c_F,c_G,ADV,gap,beta_F,beta_G,se_F,se_G,incR2_F,incR2_G,r2,classification
accounting,Accounting,52,94,0.7535382725860637,0.5124679856551358,0.6129632372370927,-0.10049525158195682,0.48753201434486415,1359.7901476250463,6847.458570201146,2086.845820344654,2048.989156112088,0.08614572966324241,0.00327504521277866,0.29806703360935516,brand-dominant
aerospace_engineering,Aerospace Engineering,14,35,0.8450980392156864,0.5556411527037317,0.4650185598629668,0.0906225928407649,0.4443588472962683,4393.892001261636,15.406913150306536,2465.851385447016,2536.9324248236444,8.482597005921022e-07,0.07302647263491047,0.2640211351480918,neither
ag_engineering,Agricultural Engineering,14,14,0.8461538461538461,0.0945054945054945,0.4021978021978022,-0.3076923076923077,0.9054945054945055,,,,,,,,n/a
agronomy,Agronomy,01,11,0.8636363636363636,0.07272727272727274,0.16363636363636366,-0.09090909090909093,0.9272727272727272,,,,,,,,n/a
animal_sciences,Animal Sciences,01,35,0.7257703081232493,0.19607843137254907,0.20140056022408967,-0.005322128851540597,0.8039215686274509,932.1813694009179,-418.5531235078661,1254.5961622852076,1211.2820254290712,0.0036514312489944745,0.016882836980894655,0.02140616140654039,neither
anthropology,Anthropology,45,75,0.8678520625889046,0.4920910384068279,0.5491607396870555,-0.05706970128022759,0.5079089615931721,2403.233258528211,2586.767756158867,1610.415818227109,1654.1600172505757,0.022642811236883498,0.02061988802728698,0.3333421408874315,neither
architecture,Architecture,04,34,0.8105423987776927,0.22291825821237582,0.3634835752482811,-0.1405653170359053,0.7770817417876241,-345.40935986362365,2606.633739907107,1648.1177838727867,1676.8437718937653,0.06672485516456783,0.0012128428484818876,0.14399852482852216,neither
biochemistry,Biochemistry,26,47,0.8022664199814987,0.42160037002775214,0.47062904717853843,-0.04902867715078629,0.5783996299722478,-5.3925349886542335,4046.9060568101067,2194.6982436370295,2276.7948541137116,0.05534035398816706,1.0574985986888663e-07,0.22928082217089096,neither
biology,Biology,26,137,0.82441615173521,0.350164280247167,0.44145649373681556,-0.09129221348964855,0.649835719752833,-3334.8363017549636,6105.317847242612,1559.6648176389417,1603.1730803238336,0.09401735582665327,0.029637310415625673,0.131325450630838,both
biomedical_engineering,Biomedical Engineering,14,48,0.8214285714285714,0.6494789405123751,0.6735779418150238,-0.024099001302648748,0.3505210594876249,2363.062254283086,3150.973044172406,1512.5147293337393,1580.4231916107724,0.05217877080754818,0.03204072668635227,0.4093043534718275,brand-dominant
chemical_engineering,Chemical Engineering,14,91,0.8390508042681957,0.5481446090141742,0.4441630832935181,0.10398152572065605,0.45185539098582583,5481.284865740369,-770.9105015458274,1266.6820351782246,1281.3869719318452,0.0027128363998789595,0.14034786575734604,0.34043293570603983,field-dominant
chemistry,Chemistry,40,76,0.9083253588516746,0.3130553656869447,0.3864114832535886,-0.0733561175666439,0.6869446343130553,-1480.241985117309,4394.878478593876,2200.8397549794468,2275.5392745908684,0.0441855865069849,0.005358511226975948,0.13527420693857428,neither
civil_engineering,Civil Engineering,14,105,0.7849574953348538,0.5057640472734812,0.514254613311217,-0.008490566037735792,0.49423595272651877,1375.143387540332,2174.4455611758594,778.3844254328354,794.8165809085564,0.04970206129943766,0.02072616033728103,0.32265281405653456,brand-dominant
communication_disorders,Communication Disorders,51,17,0.8333333333333335,-0.20833333333333337,-0.08578431372549021,-0.12254901960784316,1.2083333333333335,-3018.760459387813,-907.1345811466491,5977.383118098667,6084.493498391952,0.001357648861833316,0.015578584586202315,0.14489211317538064,neither
computer_engineering,Computer Engineering,14,74,0.8529137356534615,0.6974750092558311,0.689270640503517,0.008204368752314006,0.30252499074416894,6815.571295655882,8599.75169381858,3814.4794588033624,3847.9124893400967,0.03552663773233744,0.022707359015144868,0.4950004328638614,brand-dominant
computer_science,Computer Science,11,161,0.851641936968024,0.7082183114791811,0.7528899240855762,-0.04467161260639507,0.29178168852081887,19039.817089848395,7876.548105153285,3860.5005316166485,3631.634328959815,0.014949412323003397,0.07730272384482217,0.4978730014361995,both
earth_sciences,Earth Sciences,40,50,0.8184873949579832,0.2848019207683073,0.4543097238895558,-0.16950780312124852,0.7151980792316928,273.2594153617574,3550.377878479286,2086.7259975792717,2082.4529180868144,0.051754688482712585,0.0003053306060363248,0.16314776272374965,neither
ecology,Ecology,26,11,0.6181818181818182,0.3545454545454546,0.44545454545454555,-0.09090909090909094,0.6454545454545454,,,,,,,,n/a
economics,Economics,45,116,0.9021104832199286,0.687447381880995,0.692060477691185,-0.004613095810189982,0.31255261811900503,12884.698075439985,870.1218697262757,4424.184262477448,4508.562161798371,0.00024001275841123437,0.054655310086038744,0.2718368000649989,field-dominant
electrical_engineering,Electrical Engineering,14,118,0.8450801441828362,0.5129127506002484,0.47891943020730393,0.033993320392944504,0.48708724939975157,10280.698573034191,4176.684839594971,4223.850929828035,4195.592813393851,0.006044528662518367,0.03613381212358313,0.29857129386914716,field-dominant
english,English,23,135,0.8848697688030436,0.4940200956004293,0.5547410008779632,-0.060720905277533876,0.5059799043995707,232.31855606866043,3324.4798240180758,1248.9077306716829,1208.020184795658,0.0434350265035196,0.00019844865571061465,0.2429666697667826,brand-dominant
