inst_key,institution,mean_resid,n_fields,mean_G_pct
jackson state university,Jackson State University,-1.1808703087785657,5,0.02966881107933812
university memphis,University of Memphis,-1.0636582658293134,22,0.30343663161507733
university north carolina greensboro,"University of North Carolina at Greensboro, The",-1.0589419936622866,25,0.5068658713683665
southern illinois university carbondale,Southern Illinois University Carbondale,-1.034176795462843,25,0.4782557210237675
university illinois chicago,University of Illinois at Chicago,-1.0313751550860624,29,0.7053543092355002
university southern mississippi,"University of Southern Mississippi, The",-1.0157825153033981,19,0.12903209430303436
university alabama birmingham,"University of Alabama at Birmingham, The",-0.9140171597856137,23,0.4602577061110588
university new orleans,"University of New Orleans, The",-0.8611809439958017,13,0.3524853329416253
university kentucky,University of Kentucky,-0.8490976395300237,30,0.5207906793552664
university wisconsin milwaukee,University of Wisconsin - Milwaukee,-0.8375336485290877,33,0.4780620918874218
georgia state university,Georgia State University,-0.8171573149591158,23,0.46727768935788505
iowa state university,Iowa State University,-0.8155561919601403,33,0.6229011606798803
cleveland state university,Cleveland State University,-0.7983119988294626,23,0.09540262872463692
university louisiana monroe,"University of Louisiana at Monroe, The",-0.7796932686802299,6,0.009525354120438935
university minnesota,"University of Minnesota, Twin Cities",-0.7463562729837331,44,0.8629903572712407
university missouri st louis,University of Missouri - St. Louis,-0.7438167954645122,14,0.22881528296022677
university toledo,"University of Toledo, The",-0.7316280840600375,20,0.23803773345111862
university iowa,"University of Iowa, The",-0.7171108456483614,33,0.8366770827011794
university texas san antonio,"University of Texas at San Antonio, The",-0.7116485392823093,25,0.12957357772909517
northern arizona university,Northern Arizona University,-0.6963678690092827,5,0.4069292923625782
university oregon,University of Oregon,-0.6860093983371108,22,0.7410385059957293
tennessee technological university,Tennessee Technological University,-0.6731323640243427,5,0.051908625646359806
university texas rio grande valley,University of Texas Rio Grande Valley,-0.6382080011666164,10,0.020543189294039064
university northern colorado,University of Northern Colorado,-0.6354114137210483,7,0.5886198620379358
university texas el paso,"University of Texas at El Paso, The",-0.6310714235928061,23,0.08779800533460284
university nebraska lincoln,University of Nebraska - Lincoln,-0.6233490499226926,27,0.5641241994273632
university idaho,University of Idaho,-0.6219573993781463,17,0.20562576067901073
university louisiana lafayette,University of Louisiana at Lafayette,-0.6209151904135394,18,0.035475457431035654
university south florida,University of South Florida,-0.6168579082791594,31,0.3732580742058429
university arizona,"University of Arizona, The",-0.6080599526049314,37,0.7505278938493811
illinois institute technology,Illinois Institute of Technology,-0.5987112464524993,10,0.5824860778877989
university kansas,"University of Kansas, The",-0.5768651381248872,20,0.6547581733538597
university wyoming,University of Wyoming,-0.5740644958785023,25,0.3980799233890489
middle tennessee state university,Middle Tennessee State University,-0.569668686508729,5,0.0775375179301109
university california riverside,"University of California, Riverside",-0.5681622478885147,24,0.6132150458436043
mississippi state university,Mississippi State University,-0.5515349049369743,25,0.13998537054390509
western michigan university,Western Michigan University,-0.5365420150032707,29,0.18825339832957105
montana state university,Montana State University,-0.5225945287735538,20,0.1624669273642016
florida state university,Florida State University,-0.5021689535015129,36,0.735627879129341
university vermont,"University of Vermont, The",-0.48960765914428145,25,0.39160740981947234
wichita state university,Wichita State University,-0.4596282459578304,6,0.2015374757662939
south dakota school mines technology,South Dakota School of Mines & Technology,-0.4374336249771025,4,0.01959753061583725
florida atlantic university,Florida Atlantic University,-0.42789632422993285,22,0.13040558375939793
