field,label,cip2,n,integration,gap,structure,top_decile_premium,rest_corr
food_science,Food Science,01,16,0.7617647058823529,0.2382352941176471,n/a,,
statistics,Statistics,27,28,0.7536945812807883,0.24630541871921174,GRADED,0.41571488617552893,0.6915384615384614
computer_science,Computer Science,11,161,0.7082183114791811,0.29178168852081887,GRADED,0.934459369006653,0.6133679735474727
computer_engineering,Computer Engineering,14,74,0.6974750092558311,0.30252499074416894,GRADED,0.32871557432993304,0.6373613217335783
economics,Economics,45,116,0.687447381880995,0.31255261811900503,GRADED,0.629805122661622,0.6142729877020492
political_science,Political Science,45,139,0.6569909289959336,0.3430090710040664,GRADED,0.2963360074051219,0.5878402457757295
biomedical_engineering,Biomedical Engineering,14,48,0.6494789405123751,0.3505210594876249,GRADED,0.0751372759893695,0.5652370884929024
kinesiology,Kinesiology/Exercise Sci,31,70,0.6188259994751115,0.3811740005248885,GRADED,0.190052518830765,0.5763248847926268
mechanical_engineering,Mechanical Engineering,14,133,0.6180145530430754,0.3819854469569246,GRADED,0.20765843343288787,0.501790061083868
mathematics,Mathematics,27,120,0.6155705257309534,0.3844294742690466,GRADED,0.4780630647073099,0.5147236750597807
finance,Finance,52,89,0.5865338781069118,0.4134661218930882,GRADED,0.36038477252517487,0.48834974214721055
history,History,54,131,0.5865264506485881,0.4134735493514119,GRADED,0.3236343571822696,0.4671881790525859
human_dev,Human Dev & Family Sci,19,31,0.5798387096774194,0.42016129032258065,GRADED,0.1603976930694992,0.48823207443897104
hper,Health/PE/Recreation,31,15,0.5714285714285713,0.4285714285714287,n/a,,
psychology,Psychology,42,173,0.5712762653489764,0.42872373465102365,GRADED,0.22232894779608361,0.4905185630067487
sociology,Sociology,45,114,0.5699884570988841,0.4300115429011159,GRADED,0.18528817673752956,0.5057659359486887
public_health,Public Health,51,32,0.5579178885630498,0.4420821114369502,GRADED,0.19900014864769713,0.6369458128078815
aerospace_engineering,Aerospace Engineering,14,35,0.5556411527037317,0.4443588472962683,GRADED,0.19334638973354637,0.4409718744055496
special_education,Special Education,13,19,0.5491228070175439,0.4508771929824561,n/a,,
chemical_engineering,Chemical Engineering,14,91,0.5481446090141742,0.45185539098582583,GRADED,0.12914063059285547,0.46787692776526163
marketing,Marketing,52,81,0.5184733514001807,0.4815266485998193,GRADED,0.27899818782940694,0.44511292114031853
electrical_engineering,Electrical Engineering,14,118,0.5129127506002484,0.48708724939975157,GRADED,0.22650952130720917,0.37010857243620426
accounting,Accounting,52,94,0.5124679856551358,0.48753201434486415,GRADED,0.16832487911957522,0.4634378710133043
materials_science,Materials Science,14,23,0.5118577075098815,0.48814229249011853,GRADED,0.08731888844849606,0.39610389610389607
