field,label,n_common,prestige_stability_rho,earn_frac_change,slope
computer_science,Computer Science,213,0.5687418933919631,0.2559292795967601,1615.9269526697472
biology,Biology,325,0.45025335058270977,0.03305211037845991,139.6282254987319
chemistry,Chemistry,235,0.46107475483601473,-0.00424007516019097,41.75189530763754
physics,Physics,146,0.339293075652368,-0.03024077863120426,95.10594606477117
mathematics,Mathematics,217,0.5250774449577427,0.1740955001505754,790.0983391953553
psychology,Psychology,314,0.5344081501227882,0.012889211357225943,96.56135435472906
economics,Economics,177,0.5785861606515872,0.12945329672754569,816.9444263377003
mechanical_engineering,Mechanical Engineering,101,0.5471995832320115,-0.03629486168795276,-136.20207821314594
electrical_engineering,Electrical Engineering,44,0.46947157003994877,0.03734096358116305,390.47119396763054
civil_engineering,Civil Engineering,43,0.44732642281295254,-0.008080417388933897,138.56827984741
