field,label,gap_PSEO,n_PSEO,gap_Scorecard,n_Scorecard
accounting,Accounting,0.25470485096434825,59,0.48753201434486415,94
aerospace_engineering,Aerospace Engineering,0.42461885940146804,22,0.4443588472962683,35
ag_engineering,Agricultural Engineering,0.5642857142857144,15,0.9054945054945055,14
agronomy,Agronomy,1.0,12,0.9272727272727272,11
animal_sciences,Animal Sciences,0.7460869565217392,24,0.8039215686274509,35
anthropology,Anthropology,0.6341618191433105,61,0.5079089615931721,75
architecture,Architecture,0.6754171301446051,30,0.7770817417876241,34
biochemistry,Biochemistry,0.7080971659919029,39,0.5783996299722478,47
biology,Biology,0.626697202673365,75,0.649835719752833,137
biomedical_engineering,Biomedical Engineering,0.6247010130893154,24,0.3505210594876249,48
chemical_engineering,Chemical Engineering,0.6325428194993412,45,0.45185539098582583,91
chemistry,Chemistry,0.79607962641693,82,0.6869446343130553,76
civil_engineering,Civil Engineering,0.4845704266510811,59,0.49423595272651877,105
communication_disorders,Communication Disorders,0.8962406015037594,20,1.2083333333333335,17
computer_engineering,Computer Engineering,0.3738775510204081,50,0.30252499074416894,74
computer_science,Computer Science,0.2845398400323985,84,0.29178168852081887,161
earth_sciences,Earth Sciences,0.728313420394554,60,0.7151980792316928,50
ecology,Ecology,1.585779186129006,9,0.6454545454545454,11
economics,Economics,0.5832167832167832,65,0.31255261811900503,116
electrical_engineering,Electrical Engineering,0.44361932423075623,69,0.48708724939975157,118
english,English,0.5715424285044538,80,0.5059799043995707,135
environmental_engineering,Environmental Engineering,1.0196078431372548,18,0.8105263157894737,19
environmental_sciences,Environmental Sciences,1.0670821114369502,32,0.7708423795049935,48
finance,Finance,0.32535885167464107,56,0.4134661218930882,89
food_science,Food Science,0.27472527472527464,13,0.2382352941176471,16
forestry,Forestry,1.1071428571428572,15,1.1495098039215685,17
geography,Geography,0.8845335375632105,46,0.7618466898954703,41
history,History,0.6175248419150858,81,0.4134735493514119,131
hper,Health/PE/Recreation,0.49329205366357065,18,0.4285714285714287,15
human_dev,Human Dev & Family Sci,0.5928853754940712,22,0.42016129032258065,31
industrial_engineering,Industrial Engineering,0.189149560117302,32,0.5064777327935223,39
kinesiology,Kinesiology/Exercise Sci,0.5544501619973319,54,0.3811740005248885,70
linguistics,Linguistics,0.7509881422924901,23,0.4977777777777779,26
management,Management,0.35726590719644336,60,0.5248055315471045,90
marketing,Marketing,0.3332194997011868,52,0.4815266485998193,81
materials_science,Materials Science,0.7403508771929825,19,0.48814229249011853,23
mathematics,Mathematics,0.4175171986675117,83,0.3844294742690466,120
mechanical_engineering,Mechanical Engineering,0.4719347894657393,65,0.3819854469569246,133
microbiology,Microbiology,0.5906862745098038,17,0.9338235294117647,17
music,Music,1.01291223571783,64,0.9607655502392345,76
nursing,Nursing,0.9658094681472823,59,0.9270871985157699,99
nutrition,Nutrition Sciences,0.6447728516694033,28,0.731924360400445,30
pharmacy,Pharmacy,1.6363636363636365,12,0.5714285714285714,8
philosophy,Philosophy,0.6155292361750941,68,0.656794425087108,41
physics,Physics,0.9352962500659808,73,0.6547870733917245,43
physiology,Physiology,1.018181818181818,10,1.3441176470588236,16
political_science,Political Science,0.405547652916074,75,0.3430090710040664,139
psychology,Psychology,0.5737891135754962,88,0.42872373465102365,173
public_health,Public Health,0.7317899491812535,22,0.4420821114369502,32
social_work,Social Work,0.613107822410148,44,0.5516046837666929,68
sociology,Sociology,0.579844502036283,74,0.4300115429011159,114
spanish,Spanish Lang & Lit,0.5157894736842106,20,0.6238042269187987,30
special_education,Special Education,0.49705882352941166,16,0.4508771929824561,19
statistics,Statistics,0.33479589910394525,19,0.24630541871921174,28
teacher_ed_subjects,Teacher Ed (subjects),0.9841269841269842,27,0.7678249678249678,36
theatre,Theatre,0.8894680903488535,39,0.6237434474252236,46
urban_planning,Urban & Regional Planning,0.5104895104895104,12,0.8741258741258742,12
