field,cohort,we,w,n_inst,earn_real2023,label
accounting,2001,1728008058,21622,157,79918.97410045324,Accounting
accounting,2004,2580588380,32575,186,79219.9042210284,Accounting
accounting,2007,3151837580,41423,213,76089.07080607393,Accounting
accounting,2010,4224049844,53051,249,79622.43584475316,Accounting
accounting,2013,4594601896,56499,260,81321.82686419229,Accounting
accounting,2016,4780727249,57416,265,83264.72148878362,Accounting
aerospace_engineering,2001,104059915,1041,11,99961.49375600384,Aerospace Engineering
aerospace_engineering,2004,225221066,2226,20,101177.47798742139,Aerospace Engineering
aerospace_engineering,2007,267704547,2711,21,98747.52748063445,Aerospace Engineering
aerospace_engineering,2010,314503313,3152,22,99778.9698604061,Aerospace Engineering
aerospace_engineering,2013,419775041,4067,25,103214.91049913941,Aerospace Engineering
aerospace_engineering,2016,441769817,4269,24,103483.20847973764,Aerospace Engineering
ag_engineering,2001,45699458,538,9,84943.23048327137,Agricultural Engineering
ag_engineering,2004,50327479,607,10,82911.82701812191,Agricultural Engineering
ag_engineering,2007,57137711,677,12,84398.39143279173,Agricultural Engineering
ag_engineering,2010,93456634,1102,13,84806.38294010889,Agricultural Engineering
ag_engineering,2013,130999800,1474,14,88873.67706919946,Agricultural Engineering
ag_engineering,2016,155397084,1760,15,88293.79772727273,Agricultural Engineering
agricultural_economics,2001,22576998,382,3,59102.089005235604,Agricultural Economics
agricultural_economics,2004,22921866,409,3,56043.682151589244,Agricultural Economics
agricultural_economics,2007,23627700,446,4,52976.90582959641,Agricultural Economics
agricultural_economics,2010,28403272,508,5,55911.95275590551,Agricultural Economics
agricultural_economics,2013,38656785,693,7,55781.79653679654,Agricultural Economics
agricultural_economics,2016,43661977,770,7,56703.86623376623,Agricultural Economics
agronomy,2001,95955436,1633,17,58760.21800367422,Agronomy
agronomy,2004,82655634,1468,17,56304.92779291553,Agronomy
agronomy,2007,99125098,1705,23,58137.887390029326,Agronomy
agronomy,2010,117042851,1983,29,59023.1220373172,Agronomy
agronomy,2013,144552580,2396,31,60330.79298831386,Agronomy
agronomy,2016,133176461,2184,26,60978.23305860806,Agronomy
animal_sciences,2001,173948300,3100,29,56112.354838709674,Animal Sciences
animal_sciences,2004,191589519,3439,32,55710.82262285548,Animal Sciences
animal_sciences,2007,255213427,4750,38,53729.14252631579,Animal Sciences
animal_sciences,2010,338289876,6084,44,55603.20118343195,Animal Sciences
animal_sciences,2013,416053573,7354,47,56575.139107968454,Animal Sciences
