field,gap_PSEO,n
accounting,0.25470485096434825,59
aerospace_engineering,0.42461885940146804,22
ag_engineering,0.5642857142857144,15
agronomy,1.0,12
animal_sciences,0.7460869565217392,24
anthropology,0.6341618191433105,61
architecture,0.6754171301446051,30
astronomy,1.1032967032967034,14
atmospheric_sciences,0.6833333333333333,9
biochemistry,0.7080971659919029,39
biology,0.626697202673365,75
biomedical_engineering,0.6247010130893154,24
chemical_engineering,0.6325428194993412,45
chemistry,0.79607962641693,82
civil_engineering,0.4845704266510811,59
communication_disorders,0.8962406015037594,20
computer_engineering,0.3738775510204081,50
computer_science,0.2845398400323985,84
earth_sciences,0.728313420394554,60
ecology,1.585779186129006,9
economics,0.5832167832167832,65
electrical_engineering,0.44361932423075623,69
english,0.5715424285044538,80
environmental_engineering,1.0196078431372548,18
environmental_sciences,1.0670821114369502,32
finance,0.32535885167464107,56
food_science,0.27472527472527464,13
forestry,1.1071428571428572,15
geography,0.8845335375632105,46
history,0.6175248419150858,81
hper,0.49329205366357065,18
human_dev,0.5928853754940712,22
industrial_engineering,0.189149560117302,32
kinesiology,0.5544501619973319,54
linguistics,0.7509881422924901,23
management,0.35726590719644336,60
marketing,0.3332194997011868,52
materials_science,0.7403508771929825,19
mathematics,0.4175171986675117,83
mechanical_engineering,0.4719347894657393,65
microbiology,0.5906862745098038,17
music,1.01291223571783,64
nursing,0.9658094681472823,59
nutrition,0.6447728516694033,28
pharmacy,1.6363636363636365,12
philosophy,0.6155292361750941,68
physics,0.9352962500659808,73
physiology,1.018181818181818,10
political_science,0.405547652916074,75
psychology,0.5737891135754962,88
public_health,0.7317899491812535,22
religious_studies,0.9976923076923077,25
social_work,0.613107822410148,44
sociology,0.579844502036283,74
spanish,0.5157894736842106,20
special_education,0.49705882352941166,16
statistics,0.33479589910394525,19
teacher_ed_subjects,0.9841269841269842,27
theatre,0.8894680903488535,39
urban_planning,0.5104895104895104,12
