inst_key,institution_id,institution_name,field,period,F,earnings,cohort_n,g_rank,G,y,F_pct,G_pct,resid,label
university iowa,281.0,"University of Iowa, The",accounting,2011-2020,-4.0,92767.0,108.0,40,-40,92767.0,1.0,0.9574468085106383,-0.3555902686872012,Accounting
university minnesota,301.0,"University of Minnesota, Twin Cities",accounting,2011-2020,-7.0,96109.0,134.0,33,-33,96109.0,0.9893617021276596,0.9680851063829787,-0.07757587886800459,Accounting
university texas austin,229.0,"University of Texas at Austin, The",accounting,2011-2020,-11.0,105143.0,205.0,32,-32,105143.0,0.9787234042553191,0.9787234042553191,0.4992655126671121,Accounting
university illinois urbana champaign,280.0,University of Illinois at Urbana-Champaign,accounting,2011-2020,-12.0,101098.0,273.0,22,-22,101098.0,0.9680851063829787,0.9893617021276596,0.3503841857492816,Accounting
university florida,273.0,University of Florida,accounting,2011-2020,-13.0,94941.0,59.0,93,-93,94941.0,0.9574468085106383,0.7978723404255319,-0.09732414288446839,Accounting
university arizona,247.0,"University of Arizona, The",accounting,2011-2020,-14.0,93729.0,131.0,58,-58,93729.0,0.9468085106382979,0.9042553191489362,-0.16082632645489336,Accounting
university wisconsin,347.0,University of Wisconsin - Madison,accounting,2011-2020,-16.0,101390.0,90.0,18,-18,101390.0,0.9361702127659575,1.0,0.4587046367539261,Accounting
university maryland college park,289.0,"University of Maryland, College Park",accounting,2011-2020,-18.0,97314.0,187.0,42,-42,97314.0,0.925531914893617,0.9468085106382979,0.13906502314128447,Accounting
university georgia,274.0,University of Georgia,accounting,2011-2020,-20.0,93260.0,110.0,95,-95,93260.0,0.9148936170212766,0.7872340425531915,-0.1378850187976544,Accounting
university oregon,325.0,University of Oregon,accounting,2011-2020,-22.0,85438.0,108.0,57,-57,85438.0,0.9042553191489362,0.9148936170212766,-0.7136620624525127,Accounting
michigan state university,132.0,Michigan State University,accounting,2011-2020,-24.0,96093.0,210.0,61,-61,96093.0,0.8936170212765957,0.8936170212765957,0.07662718745111786,Accounting
university southern california,335.0,University of Southern California,accounting,2011-2020,-28.0,121101.0,159.0,51,-51,121101.0,0.8829787234042553,0.9361702127659575,1.0803642957232624,Accounting
university massachusetts amherst,293.0,University of Massachusetts Amherst,accounting,2011-2020,-29.0,100516.0,162.0,56,-56,100516.0,0.8723404255319149,0.925531914893617,0.5045872520684034,Accounting
george washington university,80.0,George Washington University,accounting,2011-2020,-30.0,116795.0,37.0,140,-140,116795.0,0.8617021276595744,0.6595744680851063,0.9960495002561146,Accounting
florida state university,73.0,Florida State University,accounting,2011-2020,-31.0,91056.0,223.0,71,-71,91056.0,0.851063829787234,0.8723404255319149,-0.13469197515687986,Accounting
georgia state university,83.0,Georgia State University,accounting,2011-2020,-32.0,81029.0,286.0,175,-175,81029.0,0.8404255319148937,0.5638297872340425,-0.9239168771802521,Accounting
university arkansas,250.0,University of Arkansas,accounting,2011-2020,-33.0,84097.0,135.0,209,-209,84097.0,0.8297872340425532,0.46808510638297873,-0.6885920590347576,Accounting
university utah,343.0,"University of Utah, The",accounting,2011-2020,-37.0,94253.0,128.0,90,-90,94253.0,0.8191489361702128,0.8085106382978723,0.14438676254257576,Accounting
university texas dallas,230.0,"University of Texas at Dallas, The",accounting,2011-2020,-38.0,82629.0,327.0,148,-148,82629.0,0.8085106382978723,0.648936170212766,-0.730217282828202,Accounting
university connecticut,267.0,University of Connecticut,accounting,2011-2020,-39.0,106959.0,149.0,108,-108,106959.0,0.7978723404255319,0.7446808510638298,0.9565529722231869,Accounting
university alabama,243.0,"University of Alabama, The",accounting,2011-2020,-41.0,87621.0,200.0,201,-201,87621.0,0.7872340425531915,0.5,-0.1741885031898075,Accounting
university north texas,320.0,University of North Texas,accounting,2011-2020,-42.0,79124.0,170.0,199,-199,79124.0,0.776595744680851,0.5106382978723404,-0.920723833539477,Accounting
university kentucky,283.0,University of Kentucky,accounting,2011-2020,-44.0,85777.0,202.0,151,-151,85777.0,0.7659574468085106,0.6276595744680851,-0.32253765616750885,Accounting
university houston,277.0,University of Houston,accounting,2011-2020,-45.0,84668.0,321.0,129,-129,84668.0,0.7553191489361702,0.7021276595744681,-0.45007419724848857,Accounting
temple university,212.0,Temple University,accounting,2011-2020,-46.0,85777.0,290.0,107,-107,85777.0,0.7446808510638298,0.7553191489361702,-0.27878373661354827,Accounting
university mississippi,302.0,"University of Mississippi, The",accounting,2011-2020,-50.0,85482.0,94.0,247,-247,85482.0,0.7340425531914894,0.3191489361702128,-0.32094113434712185,Accounting
virginia polytechnic institute state university,354.0,Virginia Polytechnic Institute and State University,accounting,2011-2020,-51.0,99528.0,164.0,106,-106,99528.0,0.723404255319149,0.7659574468085106,0.7254855455987254,Accounting
university nebraska lincoln,308.0,University of Nebraska - Lincoln,accounting,2011-2020,-52.0,78760.0,128.0,134,-134,78760.0,0.7127659574468085,0.6808510638297872,-0.9175307898987024,Accounting
drexel university,59.0,Drexel University,accounting,2011-2020,-53.0,100317.0,158.0,150,-150,100317.0,0.7021276595744681,0.6382978723404256,0.8119290368263894,Accounting
southern illinois university carbondale,192.0,Southern Illinois University Carbondale,accounting,2011-2020,-54.0,70478.0,146.0,180,-180,70478.0,0.6914893617021277,0.5531914893617021,-1.8129474471662024,Accounting
university illinois chicago,279.0,University of Illinois at Chicago,accounting,2011-2020,-55.0,86088.0,227.0,75,-75,86088.0,0.6808510638297872,0.851063829787234,-0.08348762044111062,Accounting
syracuse university,210.0,Syracuse University,accounting,2011-2020,-56.0,112682.0,120.0,74,-74,112682.0,0.6702127659574468,0.8617021276595744,1.3044556328943588,Accounting
university miami,299.0,University of Miami,accounting,2011-2020,-57.0,102344.0,49.0,112,-112,102344.0,0.6595744680851063,0.7340425531914894,1.1128847343028252,Accounting
washington state university,357.0,Washington State University,accounting,2011-2020,-58.0,75980.0,238.0,132,-132,75980.0,0.648936170212766,0.6914893617021277,-1.1277856046264414,Accounting
university south florida,334.0,University of South Florida,accounting,2011-2020,-60.0,78918.0,405.0,206,-206,78918.0,0.6382978723404256,0.4787234042553192,-0.7217024997861361,Accounting
university texas arlington,228.0,University of Texas Arlington,accounting,2011-2020,-61.0,78245.0,222.0,233,-233,78245.0,0.6276595744680851,0.3829787234042553,-0.8705838267039666,Accounting
case western reserve university,35.0,Case Western Reserve University,accounting,2011-2020,-62.0,89760.0,39.0,67,-67,89760.0,0.6170212765957447,0.8829787234042553,0.21853242491558336,Accounting
fordham university,74.0,Fordham University,accounting,2011-2020,-65.0,117024.0,138.0,161,-161,117024.0,0.6063829787234043,0.6170212765957447,1.5637861065773502,Accounting
georgetown university,81.0,Georgetown University,accounting,2011-2020,-66.0,141931.0,46.0,86,-86,141931.0,0.5957446808510638,0.8191489361702128,1.7991109247228445,Accounting
virginia commonwealth university,353.0,Virginia Commonwealth University,accounting,2011-2020,-67.0,78631.0,95.0,195,-195,78631.0,0.5851063829787234,0.5212765957446809,-0.6976968442486388,Accounting
boston college,23.0,Boston College,accounting,2011-2020,-69.0,126461.0,81.0,85,-85,126461.0,0.574468085106383,0.8297872340425532,1.8001752726031028,Accounting
mississippi state university,136.0,Mississippi State University,accounting,2011-2020,-70.0,70904.0,109.0,293,-293,70904.0,0.5638297872340425,0.20212765957446807,-1.4650447864950304,Accounting
university notre dame,323.0,University of Notre Dame,accounting,2011-2020,-71.0,115909.0,81.0,80,-80,115909.0,0.5531914893617021,0.8404255319148937,1.5877917621148474,Accounting
university memphis,298.0,University of Memphis,accounting,2011-2020,-73.0,71038.0,191.0,239,-239,71038.0,0.5425531914893617,0.3617021276595745,-1.3786012952673667,Accounting
wayne state university,359.0,Wayne State University,accounting,2011-2020,-74.0,73940.0,139.0,122,-122,73940.0,0.5319148936170213,0.7127659574468085,-1.1005869054481696,Accounting
university central florida,260.0,University of Central Florida,accounting,2011-2020,-75.0,79563.0,180.0,243,-243,79563.0,0.5212765957446809,0.32978723404255317,-0.31029765554453925,Accounting
brigham young university,27.0,Brigham Young University,accounting,2011-2020,-76.0,96632.0,98.0,260,-260,96632.0,0.5106382978723404,0.2872340425531915,0.9495768827698219,Accounting
utah state university,350.0,Utah State University,accounting,2011-2020,-77.0,87050.0,154.0,241,-241,87050.0,0.5,0.3404255319148936,0.3737998391149636,Accounting
lehigh university,105.0,Lehigh University,accounting,2011-2020,-78.0,125874.0,66.0,137,-137,125874.0,0.48936170212765956,0.6702127659574468,1.9325013791452441,Accounting
university idaho,278.0,University of Idaho,accounting,2011-2020,-79.0,67887.0,40.0,266,-266,67887.0,0.4787234042553192,0.26595744680851063,-1.5888561099951057,Accounting
jackson state university,100.0,Jackson State University,accounting,2011-2020,-80.0,59996.0,50.0,354,-354,59996.0,0.46808510638297873,0.031914893617021274,-1.823116580260342,Accounting
university texas san antonio,232.0,"University of Texas at San Antonio, The",accounting,2011-2020,-81.0,73605.0,241.0,299,-299,73605.0,0.4574468085106383,0.18085106382978725,-0.9901377586830086,Accounting
bentley university,505.0,Bentley University,accounting,2011-2020,-82.0,108343.0,247.0,282,-282,108343.0,0.44680851063829785,0.22340425531914893,1.721182216537247,Accounting
loyola university chicago,114.0,Loyola University Chicago,accounting,2011-2020,-83.0,97667.0,87.0,163,-163,97667.0,0.43617021276595747,0.6063829787234043,1.1880947445560912,Accounting
iowa state university,99.0,Iowa State University,accounting,2011-2020,-84.0,70706.0,199.0,97,-97,70706.0,0.425531914893617,0.776595744680851,-1.2233338810679866,Accounting
florida atlantic university,70.0,Florida Atlantic University,accounting,2011-2020,-85.0,77465.0,297.0,303,-303,77465.0,0.4148936170212766,0.1702127659574468,-0.5184237745117615,Accounting
florida international university,72.0,Florida International University,accounting,2011-2020,-87.0,81923.0,319.0,291,-291,81923.0,0.40425531914893614,0.2127659574468085,0.01572804534965211,Accounting
baylor university,20.0,Baylor University,accounting,2011-2020,-90.0,102011.0,201.0,315,-315,102011.0,0.39361702127659576,0.13829787234042554,1.6171191570536354,Accounting
george mason university,79.0,George Mason University,accounting,2011-2020,-91.0,91132.0,353.0,226,-226,91132.0,0.3829787234042553,0.4148936170212766,0.8705838267039661,Accounting
saint louis university,178.0,Saint Louis University,accounting,2011-2020,-92.0,90963.0,43.0,210,-210,90963.0,0.3723404255319149,0.4574468085106383,0.807081643133541,Accounting
louisiana tech university,112.0,Louisiana Tech University,accounting,2011-2020,-94.0,65284.0,39.0,332,-332,65284.0,0.3617021276595745,0.0851063829787234,-1.4762782674694284,Accounting
university wyoming,349.0,University of Wyoming,accounting,2011-2020,-96.0,69378.0,41.0,203,-203,69378.0,0.35106382978723405,0.48936170212765956,-1.2409534493239338,Accounting
university wisconsin milwaukee,348.0,University of Wisconsin - Milwaukee,accounting,2011-2020,-97.0,78127.0,145.0,169,-169,78127.0,0.3404255319148936,0.574468085106383,-0.32259548439919494,Accounting
university north dakota,319.0,"University of North Dakota, The",accounting,2011-2020,-99.0,82187.0,96.0,307,-307,82187.0,0.32978723404255317,0.1595744680851064,0.21155633546221864,Accounting
university delaware,270.0,University of Delaware,accounting,2011-2020,-100.0,105425.0,172.0,120,-120,105425.0,0.3191489361702128,0.723404255319149,1.8983265905136075,Accounting
clemson university,44.0,Clemson University,accounting,2011-2020,-103.0,84458.0,125.0,216,-216,84458.0,0.30851063829787234,0.43617021276595747,0.4260685417109909,Accounting
howard university,90.0,Howard University,accounting,2011-2020,-106.0,98645.0,24.0,238,-238,98645.0,0.2978723404255319,0.3723404255319149,1.515184793330541,Accounting
