field,label,level,period,n_institutions,gap,spearman,signal_frac,ci_lo,ci_hi,synth_lo,synth_hi,reliable_flag
statistics,Statistics,undergrad,2011-2020,28,0.24630541871921174,0.7536945812807883,0.7829352630687658,0.12636796839684927,0.4696466821218154,0.04103721948549541,0.2331828133552272,False
computer_science,Computer Science,undergrad,2011-2020,161,0.29178168852081887,0.7082183114791811,0.9213860069540853,0.20892525663242223,0.3819173566443237,0.02321967736369892,0.05138457556935821,True
computer_engineering,Computer Engineering,undergrad,2011-2020,74,0.30252499074416894,0.6974750092558311,0.5350060051530409,0.18501877498862995,0.454529474357242,0.1797556460570161,0.3955831173639394,False
economics,Economics,undergrad,2011-2020,116,0.31255261811900503,0.687447381880995,0.8960483529207539,0.22882439250128828,0.4272004974701916,0.03518702187367863,0.0770672356129626,True
political_science,Political Science,undergrad,2011-2020,139,0.3430090710040664,0.6569909289959336,0.7237827992916619,0.2596432479604893,0.44350304844022703,0.09907647794807645,0.19624793333035453,True
biomedical_engineering,Biomedical Engineering,undergrad,2011-2020,48,0.3505210594876249,0.6494789405123751,0.02,0.21581897983827392,0.5418578359736479,0.6142314372557534,1.1376546895353887,False
mechanical_engineering,Mechanical Engineering,undergrad,2011-2020,133,0.3819854469569246,0.6180145530430754,0.18269129811996473,0.280492161991172,0.50654183166611,0.41811014986584516,0.7205356505238674,False
mathematics,Mathematics,undergrad,2011-2020,120,0.3844294742690466,0.6155705257309534,0.8669570396855154,0.28444553002425677,0.5041362174678738,0.042863393291200966,0.09712254323216919,True
finance,Finance,undergrad,2011-2020,89,0.4134661218930882,0.5865338781069118,0.9379496417067053,0.2835374719601439,0.5663903820167346,0.02173518896833495,0.05190670752468485,True
history,History,undergrad,2011-2020,131,0.4134735493514119,0.5865264506485881,0.7313475035421256,0.3114232041234122,0.5423577930617751,0.10090882400042706,0.20016441573693486,True
psychology,Psychology,undergrad,2011-2020,173,0.42872373465102365,0.5712762653489764,0.7658712656561861,0.3397293544788297,0.5496011014426025,0.07715210145968798,0.1576157923525131,True
sociology,Sociology,undergrad,2011-2020,114,0.4300115429011159,0.5699884570988841,0.5142813756373609,0.33483984038891745,0.5459714543415642,0.19665093862011693,0.36953119620906816,False
aerospace_engineering,Aerospace Engineering,undergrad,2011-2020,35,0.4443588472962683,0.5556411527037317,0.02,0.257928571812576,0.7313189793152126,0.5613235294117647,1.2165266106442578,False
chemical_engineering,Chemical Engineering,undergrad,2011-2020,91,0.45185539098582583,0.5481446090141742,0.02,0.3071902317173818,0.6221445494148895,0.6630056537665233,1.1071213569039655,False
electrical_engineering,Electrical Engineering,undergrad,2011-2020,118,0.48708724939975157,0.5129127506002484,0.7084369681141848,0.3413982039084421,0.6561730305441431,0.11198035928843506,0.22969242455782826,True
accounting,Accounting,undergrad,2011-2020,94,0.48753201434486415,0.5124679856551358,0.83097827738116,0.3674454695923782,0.6332496920699815,0.0579666221146552,0.13446700140880685,True
materials_science,Materials Science,undergrad,2011-2020,23,0.48814229249011853,0.5118577075098815,0.02,0.23194282834476776,0.8949419853313019,0.5296442687747036,1.3518280632411066,False
civil_engineering,Civil Engineering,undergrad,2011-2020,105,0.49423595272651877,0.5057640472734812,0.02,0.36124091821268667,0.6643248177963366,0.7116830810698735,1.1018904208998548,False
english,English,undergrad,2011-2020,135,0.5059799043995707,0.4940200956004293,0.5794193392387565,0.40333521147265106,0.642401753464867,0.16524034240561894,0.305205467759243,True
anthropology,Anthropology,undergrad,2011-2020,75,0.5079089615931721,0.4920910384068279,0.5434850451823682,0.3413789491598568,0.7420704069949426,0.17661308677098156,0.36604765291607394,False
biochemistry,Biochemistry,undergrad,2011-2020,47,0.5783996299722478,0.42160037002775214,0.02,0.3560326148662849,0.853325147847458,0.5953891073080481,1.1269715541165588,False
biology,Biology,undergrad,2011-2020,137,0.649835719752833,0.350164280247167,0.7025255868578267,0.5087940512556611,0.7982137060295151,0.10923446338230645,0.20747136763305762,True
physics,Physics,undergrad,2011-2020,43,0.6547870733917245,0.34521292660827546,0.341147058782307,0.39224692658127636,0.9368520427366179,0.24780277861673208,0.6292736333434008,False
philosophy,Philosophy,undergrad,2011-2020,41,0.656794425087108,0.34320557491289205,0.6026849810458851,0.43033734723795347,0.9500186814191209,0.12763937282229937,0.377460801393728,True
chemistry,Chemistry,undergrad,2011-2020,76,0.6869446343130553,0.3130553656869447,0.02,0.49844605231375294,0.8974533189336474,0.6651100478468899,1.091982911825017,False
earth_sciences,Earth Sciences,undergrad,2011-2020,50,0.7151980792316928,0.2848019207683073,0.02,0.4424319088484947,1.014873581061153,0.6198487394957982,1.1261152460984394,False
nursing,Nursing,undergrad,2011-2020,99,0.9270871985157699,0.07291280148423006,0.6704375583208504,0.7337003134170811,1.132542896457151,0.11595516388373539,0.2566852195423624,True
communication_disorders,Communication Disorders,undergrad,2011-2020,17,1.2083333333333335,-0.20833333333333337,0.5076906211500589,0.6888113050706568,1.6005209996806133,0.11519607843137247,0.5515318627450979,True
astronomy,Astronomy,undergrad,2011-2020,3,,,,,,,,False
neuroscience,Neuroscience,undergrad,2011-2020,1,,,,,,,,False
