field_key,gap,rho,n_matched,ok,teacher_soc,n_dest,task_distance,task_cos_dist,weighting,earn_mean,earn_sd,earn_iqr,n_inst,earn_cv,doc_ba_ratio,academic_sal,industry_sal,mean_sal,price_wedge,price_wedge_abs,label,domain
statistics,0.24630541871921174,0.7536945812807883,28,True,25-1022.00,11,18.968495617933783,0.05430255200275602,equal,95197.34,28926.832567570287,26817.5,50,0.30386177352823396,0.1271689497716895,92000.0,170000.0,113000.0,0.6902654867256637,0.6902654867256637,Statistics,Mathematics and computing
computer_science,0.2982717966413617,0.7017282033586383,161,True,25-1021.00,31,11.952614773004056,0.021680784963153288,equal,94292.153708386,29126.594258640504,27854.0,791,0.3088973272232098,0.027631959657752243,110000.0,190000.0,160000.0,0.5,0.5,Computer Science,Mathematics and computing
economics,0.31255261811900503,0.687447381880995,116,True,25-1063.00,19,21.160510888459058,0.06742718315567442,equal,84229.68108108109,21465.272936397934,22896.75,370,0.2548421490013129,0.0440402106270943,124000.0,199000.0,149000.0,0.5033557046979866,0.5033557046979866,Economics,Social sciences
political_science,0.3430090710040664,0.6569909289959336,139,True,25-1065.00,11,15.373109522869235,0.0357800691977852,equal,63034.55008787346,11238.79059524207,13228.0,569,0.17829572162527704,0.01996667668187157,98000.0,178000.0,108000.0,0.7407407407407407,0.7407407407407407,Political Science,Social sciences
mechanical_engineering,0.3819854469569246,0.6180145530430754,133,True,25-1032.00,7,15.432170698629335,0.036053853404862,equal,92351.55763239875,8098.209998431711,7344.0,321,0.08768893785924299,0.05477373478920591,100000.0,149000.0,132000.0,0.3712121212121212,0.3712121212121212,Mechanical Engineering,Engineering
mathematics,0.38701993193971806,0.6129800680602819,120,True,25-1022.00,23,18.07315389608747,0.049338804373023515,equal,76909.5381097561,24287.576853322258,20609.5,328,0.3157940802955016,0.07446547063160482,92000.0,170000.0,113000.0,0.6902654867256637,0.6902654867256637,Mathematics,Mathematics and computing
history,0.4134735493514119,0.5865264506485881,131,True,25-1125.00,16,20.667332274542215,0.06435458423525231,equal,52288.42391304348,10682.567356462247,9813.25,460,0.2043008099503541,0.03605074153530454,,,,,,History,Humanities
psychology,0.4274930353078602,0.5725069646921398,173,True,25-1066.00,32,12.68977256814655,0.024426228529840888,equal,50731.466989436616,8588.800142141818,9530.625,1136,0.1692992663494275,0.03845578221111394,95000.0,125000.0,106000.0,0.2830188679245283,0.2830188679245283,Psychology,Social sciences
sociology,0.4300115429011159,0.5699884570988841,114,True,25-1067.00,9,21.30397750071484,0.06833399173547772,equal,52895.75698924731,8659.555516080323,9882.0,465,0.16370983248884488,0.026100929384174413,90000.0,139000.0,96000.0,0.5104166666666666,0.5104166666666666,Sociology,Social sciences
chemical_engineering,0.45185539098582583,0.5481446090141742,91,True,25-1032.00,13,16.718241211658203,0.0422690404347551,equal,97276.77358490566,8716.37617036739,10355.5,159,0.08960387818331077,0.1261119243328454,118000.0,150000.0,141000.0,0.22695035460992907,0.22695035460992907,Chemical Engineering,Engineering
electrical_engineering,0.48708724939975157,0.5129127506002484,118,True,25-1032.00,16,17.19365805530545,0.04468891245145612,equal,101140.95785440614,15689.339793990495,9923.0,261,0.1551235041354416,0.14086877710882373,119000.0,174000.0,160000.0,0.34375,0.34375,Electrical Engineering,Engineering
materials_science,0.48814229249011853,0.5118577075098815,23,True,25-1032.00,11,15.689916453436233,0.03726064521557604,equal,92388.0,8011.507145528683,9296.0,36,0.08671588459030051,0.6700819672131147,100000.0,150000.0,144000.0,0.3472222222222222,0.3472222222222222,Materials Science,Engineering
civil_engineering,0.49423595272651877,0.5057640472734812,105,True,25-1032.00,17,16.44153413652213,0.04089094891840628,equal,85813.70085470086,7061.660248395988,8554.0,234,0.08229059203905843,0.08664335664335664,103000.0,139000.0,120000.0,0.3,0.3,Civil Engineering,Engineering
english,0.5059799043995707,0.4940200956004293,135,True,25-1123.00,3,10.623374497716464,0.017139777795770916,equal,49429.64991334489,8440.563342804391,10768.0,577,0.17075911639272262,0.03877786165521078,,,,,,English,Humanities
anthropology,0.5079089615931721,0.4920910384068279,75,True,25-1061.00,5,12.130722947939871,0.022329304758717083,equal,47434.48148148148,8629.579771204433,11277.0,189,0.18192630132519608,0.06257537183438296,89000.0,130000.0,92000.0,0.44565217391304346,0.44565217391304346,Anthropology,Social sciences
biology,0.6174766946201846,0.38252330537981544,138,True,25-1042.00,23,12.127925174776077,0.02231904457533196,equal,58534.171619047615,11112.185589834588,13463.0,875,0.18984099855644954,0.04024968142720611,94000.0,150000.0,115000.0,0.48695652173913045,0.48695652173913045,Biology,Natural sciences
physics,0.6547870733917245,0.34521292660827546,43,True,25-1054.00,5,12.989341003228557,0.025588103399073914,equal,80303.06481481482,13347.910641410768,16108.25,108,0.16621919315523137,0.2935687625610106,101000.0,159000.0,140000.0,0.4142857142857143,0.4142857142857143,Physics,Natural sciences
philosophy,0.656794425087108,0.34320557491289205,41,True,25-1126.00,4,14.271970423670105,0.030863550562167053,equal,57510.43023255814,12917.477897649047,14261.5,86,0.22461104612526667,0.06898954703832752,,,,,,Philosophy,Humanities
chemistry,0.6869446343130553,0.3130553656869447,76,True,25-1052.00,27,15.7124472638731,0.03736706308395954,equal,66701.9014084507,9435.427921455843,13181.0,213,0.14145665599062568,0.24656008907977411,85000.0,145000.0,123000.0,0.4878048780487805,0.4878048780487805,Chemistry,Natural sciences
earth_sciences,0.7151980792316928,0.2848019207683073,50,True,25-1051.00,6,14.380866204746692,0.03133384345944212,equal,61215.467625899284,8698.661573127176,10817.5,139,0.14209907904790572,0.15846090194455936,90000.0,134000.0,107000.0,0.411214953271028,0.411214953271028,Earth Sciences,Natural sciences
