field_key,n_prestige,n_earn,n_matched,rho,pval,gap,ok,label,domain,industry_share,proxy_source
statistics,117,50,28,0.7536945812807883,3.6518673082104285e-06,0.24630541871921174,True,Statistics,Mathematics and computing,57.04697986577181,SDR fine
computer_science,216,791,161,0.7017282033586383,3.4601229370168793e-25,0.2982717966413617,True,Computer Science,Mathematics and computing,63.402061855670105,SDR fine
economics,200,370,116,0.687447381880995,1.562983511229194e-17,0.31255261811900503,True,Economics,Social sciences,35.53113553113553,SDR fine
political_science,194,569,139,0.6569909289959336,1.5961305687812772e-18,0.3430090710040664,True,Political Science,Social sciences,21.981424148606813,SDR fine
mechanical_engineering,175,321,133,0.6180145530430754,2.284323211435052e-15,0.3819854469569246,True,Mechanical Engineering,Engineering,64.54545454545455,SDR fine
mathematics,220,328,120,0.6129800680602819,9.958391932721131e-14,0.38701993193971806,True,Mathematics,Mathematics and computing,29.97032640949555,SDR fine
history,209,460,131,0.5865264506485881,1.8244692232093705e-13,0.4134735493514119,True,History,Humanities,8.8,SED broad (humanities)
psychology,240,1136,173,0.5725069646921398,1.8841643004052247e-16,0.4274930353078602,True,Psychology,Social sciences,48.68421052631579,SDR fine
sociology,188,465,114,0.5699884570988841,3.614043134726151e-11,0.4300115429011159,True,Sociology,Social sciences,20.766773162939298,SDR fine
chemical_engineering,128,159,91,0.5481446090141742,1.8652143074009983e-08,0.45185539098582583,True,Chemical Engineering,Engineering,72.74826789838338,SDR fine
electrical_engineering,184,261,118,0.5129127506002484,2.8797879918007854e-09,0.48708724939975157,True,Electrical Engineering,Engineering,75.49132947976878,SDR fine
materials_science,89,36,23,0.5118577075098815,0.012533636281864718,0.48814229249011853,True,Materials Science,Engineering,72.49283667621776,SDR fine
civil_engineering,150,234,105,0.5057640472734812,3.7265759079027046e-08,0.49423595272651877,True,Civil Engineering,Engineering,53.164556962025316,SDR fine
english,203,577,135,0.4940200956004293,1.1364819481971007e-09,0.5059799043995707,True,English,Humanities,8.8,SED broad (humanities)
anthropology,172,189,75,0.4920910384068279,7.326330911920073e-06,0.5079089615931721,True,Anthropology,Social sciences,22.01834862385321,SDR fine
biology,201,875,138,0.38252330537981544,3.6549760027824388e-06,0.6174766946201846,True,Biology,Natural sciences,47.252747252747255,SDR fine
physics,214,108,43,0.34521292660827546,0.023377644444286545,0.6547870733917245,True,Physics,Natural sciences,55.910165484633566,SDR fine
philosophy,192,86,41,0.34320557491289205,0.028032262054314864,0.656794425087108,True,Philosophy,Humanities,8.8,SED broad (humanities)
chemistry,223,213,76,0.3130553656869447,0.00589617537700775,0.6869446343130553,True,Chemistry,Natural sciences,59.155990957045965,SDR fine
earth_sciences,161,139,50,0.2848019207683073,0.045001008296962824,0.7151980792316928,True,Earth Sciences,Natural sciences,35.79335793357934,SDR fine
